ensembl_gene_id	mgi_symbol	08GCTFH-01	08GCTFH-02	08GCTFH-03	12GCTFH-01	12GCTFH-02	12GCTFH-03	16GCTFH-01	16GCTFH-02	16GCTFH-03	24GCTFH-01	24GCTFH-02	24GCTFH-03	08TFHlike-01	08TFHlike-02	08TFHlike-03	12TFHlike-01	12TFHlike-02	12TFHlike-03	16TFHlike-01	16TFHlike-02	16TFHlike-03	24TFHlike-01	24TFHlike-02	24TFHlike-03
ENSMUSG00000000001	Gnai3	10435	9604	10771	13001	10655	8877	8925	9532	10726	11057	7611	8519	11318	12062	10063	13093	12323	10394	10167	6849	6146	5644	6198	4261
ENSMUSG00000000028	Cdc45	401	619	399	405	643	447	317	339	237	228	288	183	1000	1643	1053	1362	1456	1131	434	485	428	426	860	448
ENSMUSG00000000037	Scml2	2	21	9	1	2	2	0	1	4	1	0	0	13	11	11	4	0	3	0	0	8	39	20	3
ENSMUSG00000000056	Narf	2268	2514	2359	2677	2418	1634	2154	1652	1758	1674	1476	1594	2319	2393	1815	2498	2160	1832	2216	1191	1068	1275	1302	1057
ENSMUSG00000000058	Cav2	4	3	7	6	11	7	4	10	9	0	7	16	10	31	4	10	11	20	7	14	4	6	17	0
ENSMUSG00000000078	Klf6	875	818	795	1747	1215	1081	572	889	807	838	858	913	1064	1045	908	1602	1216	1049	663	728	606	1099	966	1059
ENSMUSG00000000085	Scmh1	345	283	408	403	178	218	421	562	391	565	477	519	324	387	411	287	166	210	454	281	257	321	191	299
ENSMUSG00000000088	Cox5a	1222	1307	1107	1609	1967	2286	2035	1555	1056	1068	1012	906	1467	1810	1393	2356	2600	2055	1337	1388	927	511	1047	776
ENSMUSG00000000125	Wnt3	12	12	14	25	25	15	89	33	86	141	51	106	8	21	11	63	37	28	76	95	83	143	97	147
ENSMUSG00000000127	Fer	28	14	19	45	43	24	42	40	59	5	47	26	9	15	14	47	8	13	31	19	11	17	32	10
ENSMUSG00000000131	Xpo6	7920	7642	7220	4403	2617	2479	4661	3949	6272	6153	5241	5831	7694	7802	6364	3979	3180	2737	6505	2643	3313	3716	3672	3263
ENSMUSG00000000134	Tfe3	2421	2197	2525	1749	1296	952	2735	2210	2728	1738	2118	2378	2499	2491	2136	1961	1607	1451	2884	1644	1588	1104	1813	1095
ENSMUSG00000000142	Axin2	234	131	197	74	40	39	120	133	295	50	123	114	297	170	219	88	69	51	245	126	176	79	153	101
ENSMUSG00000000148	Brat1	1415	1454	1364	1316	939	725	2019	1588	1581	1108	805	1274	1476	1350	1111	1290	913	935	1634	928	948	545	741	750
ENSMUSG00000000149	Gna12	2423	2388	2474	1901	1344	1130	3020	2831	3036	3009	3109	3118	2137	1973	1719	1497	1066	1086	2594	1339	1374	1176	1618	1109
ENSMUSG00000000167	Pih1d2	10	3	5	8	6	9	8	9	4	0	7	7	15	9	6	9	12	8	10	18	2	0	0	5
ENSMUSG00000000168	Dlat	2113	1853	1874	2972	2514	1928	2182	2442	2383	2111	1787	1959	2266	2327	1803	2976	2570	2150	2209	1810	1505	1485	1696	1369
ENSMUSG00000000171	Sdhd	2991	2978	2668	4860	5195	4695	4582	4495	3257	3917	2889	2725	3261	3900	2947	6394	5498	4528	3216	3770	2473	2056	3248	2306
ENSMUSG00000000184	Ccnd2	13009	10729	12276	10359	12312	10856	7023	7605	7297	6078	6356	5245	14218	14229	13226	19161	17545	14637	10766	10228	7666	8730	12021	9439
ENSMUSG00000000194	Gpr107	2741	2248	2541	2232	2054	1469	1930	1877	1934	2340	1714	1940	2517	2408	2119	2564	1962	1728	2317	1232	1271	1175	1446	1282
ENSMUSG00000000202	Btbd17	12	14	18	23	0	5	11	24	12	14	12	9	6	16	11	8	1	4	14	7	4	13	3	10
ENSMUSG00000000204	Slfn4	3	13	7	1	12	5	8	0	1	30	0	11	7	7	15	5	6	3	0	3	1	1	18	3
ENSMUSG00000000216	Scnn1g	2	5	2	2	5	3	0	6	2	34	15	0	1	0	3	6	0	2	2	0	3	12	0	0
ENSMUSG00000000244	Tspan32	9183	8861	9483	19024	15462	13759	21614	21647	15284	20359	14692	15929	7248	7240	6780	16177	10167	9398	13347	11893	8382	7648	10471	9380
ENSMUSG00000000247	Lhx2	4	5	1	0	4	0	0	0	0	1	0	0	4	5	15	10	14	1	7	0	6	0	7	1
ENSMUSG00000000266	Mid2	2	25	9	18	13	6	4	14	19	1	10	18	3	16	2	10	7	8	11	0	3	10	4	2
ENSMUSG00000000275	Trim25	720	892	896	253	257	197	457	465	553	374	355	274	934	1123	958	242	296	203	652	423	435	351	481	372
ENSMUSG00000000276	Dgke	449	394	400	194	142	159	188	280	325	249	236	267	411	408	344	186	178	133	248	219	218	229	296	200
ENSMUSG00000000278	Scpep1	879	807	817	900	1126	878	687	726	685	690	510	544	1062	1176	923	1309	1354	1193	788	752	618	546	1006	536
ENSMUSG00000000282	Mnt	305	276	332	102	60	57	163	134	345	87	126	136	321	260	272	85	84	74	272	77	166	106	156	130
ENSMUSG00000000290	Itgb2	23712	20617	23086	28754	20866	18104	29621	29787	27419	28050	21525	24316	24488	24367	21415	30353	24549	22909	28773	21684	17643	16715	19883	16317
ENSMUSG00000000295	Hddc2	756	643	682	1077	1205	1146	1271	1172	914	849	725	702	776	839	777	1563	1294	996	896	1066	676	477	774	724
ENSMUSG00000000301	Pemt	10	9	7	14	13	8	7	11	1	10	6	26	14	10	17	12	16	14	17	8	8	0	15	13
ENSMUSG00000000303	Cdh1	2	11	0	0	1	0	0	0	0	1	0	0	10	0	8	3	11	1	5	0	2	2	0	0
ENSMUSG00000000305	Cdh4	2	21	5	2	0	0	1	0	1	2	1	0	12	5	4	0	0	0	1	0	0	0	0	5
ENSMUSG00000000317	Bcl6b	0	0	4	0	1	7	0	0	1	14	2	0	7	14	3	3	2	3	4	2	2	12	0	0
