sample	celltype	mouse	day	file_path
08GCTFH-01	GCTFH	01	08	1.Data/raw_count_txt/GCTFH//GSM4413011_D08GCTFH-01.count.txt
08GCTFH-02	GCTFH	02	08	1.Data/raw_count_txt/GCTFH//GSM4413015_D08GCTFH-02.count.txt
08GCTFH-03	GCTFH	03	08	1.Data/raw_count_txt/GCTFH//GSM4413019_D08GCTFH-03.count.txt
12GCTFH-01	GCTFH	01	12	1.Data/raw_count_txt/GCTFH//GSM4413023_D12GCTFH-01.count.txt
12GCTFH-02	GCTFH	02	12	1.Data/raw_count_txt/GCTFH//GSM4413027_D12GCTFH-02.count.txt
12GCTFH-03	GCTFH	03	12	1.Data/raw_count_txt/GCTFH//GSM4413031_D12GCTFH-03.count.txt
16GCTFH-01	GCTFH	01	16	1.Data/raw_count_txt/GCTFH//GSM4413035_D16GCTFH-01.count.txt
16GCTFH-02	GCTFH	02	16	1.Data/raw_count_txt/GCTFH//GSM4413039_D16GCTFH-02.count.txt
16GCTFH-03	GCTFH	03	16	1.Data/raw_count_txt/GCTFH//GSM4413043_D16GCTFH-03.count.txt
24GCTFH-01	GCTFH	01	24	1.Data/raw_count_txt/GCTFH//GSM4413047_D24GCTFH-01.count.txt
24GCTFH-02	GCTFH	02	24	1.Data/raw_count_txt/GCTFH//GSM4413051_D24GCTFH-02.count.txt
24GCTFH-03	GCTFH	03	24	1.Data/raw_count_txt/GCTFH//GSM4413055_D24GCTFH-03.count.txt
08TFHlike-01	TFHlike	01	08	1.Data/raw_count_txt/TFHlike///GSM4413012_D08TFHlike-01.count.txt
08TFHlike-02	TFHlike	02	08	1.Data/raw_count_txt/TFHlike///GSM4413016_D08TFHlike-02.count.txt
08TFHlike-03	TFHlike	03	08	1.Data/raw_count_txt/TFHlike///GSM4413020_D08TFHlike-03.count.txt
12TFHlike-01	TFHlike	01	12	1.Data/raw_count_txt/TFHlike///GSM4413024_D12TFHlike-01.count.txt
12TFHlike-02	TFHlike	02	12	1.Data/raw_count_txt/TFHlike///GSM4413028_D12TFHlike-02.count.txt
12TFHlike-03	TFHlike	03	12	1.Data/raw_count_txt/TFHlike///GSM4413032_D12TFHlike-03.count.txt
16TFHlike-01	TFHlike	01	16	1.Data/raw_count_txt/TFHlike///GSM4413036_D16TFHlike-01.count.txt
16TFHlike-02	TFHlike	02	16	1.Data/raw_count_txt/TFHlike///GSM4413040_D16TFHlike-02.count.txt
16TFHlike-03	TFHlike	03	16	1.Data/raw_count_txt/TFHlike///GSM4413044_D16TFHlike-03.count.txt
24TFHlike-01	TFHlike	01	24	1.Data/raw_count_txt/TFHlike///GSM4413048_D24TFHlike-01.count.txt
24TFHlike-02	TFHlike	02	24	1.Data/raw_count_txt/TFHlike///GSM4413052_D24TFHlike-02.count.txt
24TFHlike-03	TFHlike	03	24	1.Data/raw_count_txt/TFHlike///GSM4413056_D24TFHlike-03.count.txt
